SP500,Gas,Nasdaq
2552.07,2.88,6585.36
2549.33,2.81,6590.18
2544.73,2.83,6579.73
2550.64,2.8,6587.25
2555.24,2.95,6603.55
2550.93,2.95,6591.51
2553.17,2.98,6605.8
2557.64,2.91,6624
2559.36,2.78,6623.66
2561.26,2.94,6624.22
2562.1,2.84,6605.07
2575.21,2.68,6629.05
2564.98,2.68,6586.83
2569.13,2.75,6598.43
2557.15,3.01,6563.89
2560.4,3.07,6556.77
2581.07,3.16,6701.26
2572.83,3.18,6698.96
2575.26,3.17,6727.67
2579.36,3.13,6716.53
